(R8 , R8 , "--"):   32.841 ( 11.7708),    0.063,  8192  0x46000000  [  32.744,   32.838,   32.839,   32.942,   32.840]
(R8 , R8 , "-R"):   32.849 ( 11.7737),    0.068,  8192  0x46000000  [  32.737,   32.841,   32.842,   32.946,   32.877]
(R8 , R8 , "R-"):   32.840 ( 11.7708),    0.063,  8192  0x46000000  [  32.941,   32.842,   32.840,   32.837,   32.742]
(R8 , R8 , "RR"):   16.753 (  6.0046),    0.002,  8192  0x46000000  [  16.755,   16.753,   16.749,   16.753,   16.754]
(R8 , R9 , "--"):   32.873 ( 11.7823),    0.042,  8192  0x46000000  [  32.847,   32.879,   32.951,   32.847,   32.839]
(R8 , R9 , "-R"):   32.861 ( 11.7781),    0.040,  8192  0x46000000  [  32.841,   32.940,   32.841,   32.842,   32.841]
(R8 , R9 , "R-"):   16.749 (  6.0031),    0.001,  8192  0x46000000  [  16.746,   16.749,   16.749,   16.750,   16.749]
(R8 , R9 , "RR"):   16.781 (  6.0146),    0.026,  8192  0x46000000  [  16.750,   16.802,   16.800,   16.803,   16.749]
(R8 , R10, "--"):   32.903 ( 11.7933),    0.049,  8192  0x46000000  [  32.943,   32.844,   32.842,   32.944,   32.943]
(R8 , R10, "-R"):   32.842 ( 11.7713),    0.064,  8192  0x46000000  [  32.842,   32.942,   32.844,   32.841,   32.741]
(R8 , R10, "R-"):   16.788 (  6.0173),    0.038,  8192  0x46000000  [  16.748,   16.798,   16.748,   16.850,   16.798]
(R8 , R10, "RR"):   16.761 (  6.0074),    0.020,  8192  0x46000000  [  16.800,   16.749,   16.753,   16.747,   16.754]
(R8 , R11, "--"):   32.902 ( 11.7928),    0.081,  8192  0x46000000  [  32.838,   32.942,   32.840,   32.845,   33.044]
(R8 , R11, "-R"):   32.881 ( 11.7854),    0.051,  8192  0x46000000  [  32.839,   32.947,   32.839,   32.842,   32.940]
(R8 , R11, "R-"):   16.772 (  6.0113),    0.051,  8192  0x46000000  [  16.757,   16.749,   16.799,   16.852,   16.701]
(R8 , R11, "RR"):   16.747 (  6.0024),    0.001,  8192  0x46000000  [  16.749,   16.745,   16.746,   16.747,   16.746]
(R8 , R12, "--"):   49.226 ( 17.6437),    0.075,  8192  0x46000000  [  49.286,   49.136,   49.133,   49.286,   49.289]
(R8 , R12, "-R"):   32.979 ( 11.8205),    0.041,  8192  0x46000000  [  32.948,   33.044,   32.945,   33.013,   32.946]
(R8 , R12, "R-"):   32.943 ( 11.8076),    0.002,  8192  0x46000000  [  32.947,   32.943,   32.941,   32.942,   32.943]
(R8 , R12, "RR"):   16.938 (  6.0708),    0.003,  8192  0x46000000  [  16.934,   16.937,   16.935,   16.940,   16.942]
(R8 , R13, "--"):   32.839 ( 11.7703),    0.002,  8192  0x46000000  [  32.841,   32.839,   32.841,   32.835,   32.840]
(R8 , R13, "-R"):   32.841 ( 11.7708),    0.063,  8192  0x46000000  [  32.843,   32.940,   32.740,   32.841,   32.839]
(R8 , R13, "R-"):   16.750 (  6.0034),    0.002,  8192  0x46000000  [  16.748,   16.751,   16.748,   16.752,   16.749]
(R8 , R13, "RR"):   16.749 (  6.0032),    0.003,  8192  0x46000000  [  16.747,   16.747,   16.745,   16.752,   16.753]
(R8 , R14, "--"):   32.902 ( 11.7928),    0.050,  8192  0x46000000  [  32.943,   32.841,   32.942,   32.943,   32.840]
(R8 , R14, "-R"):   32.903 ( 11.7930),    0.082,  8192  0x46000000  [  32.844,   32.839,   32.839,   33.044,   32.947]
(R8 , R14, "R-"):   16.759 (  6.0070),    0.020,  8192  0x46000000  [  16.754,   16.799,   16.746,   16.749,   16.749]
(R8 , R14, "RR"):   16.770 (  6.0108),    0.026,  8192  0x46000000  [  16.750,   16.802,   16.747,   16.801,   16.750]
(R8 , R15, "--"):   32.882 ( 11.7855),    0.048,  8192  0x46000000  [  32.840,   32.941,   32.845,   32.940,   32.842]
(R8 , R15, "-R"):   32.901 ( 11.7924),    0.050,  8192  0x46000000  [  32.838,   32.942,   32.840,   32.942,   32.942]
(R8 , R15, "R-"):   16.781 (  6.0148),    0.026,  8192  0x46000000  [  16.801,   16.803,   16.749,   16.751,   16.803]
(R8 , R15, "RR"):   16.757 (  6.0062),    0.017,  8192  0x46000000  [  16.792,   16.749,   16.748,   16.747,   16.751]
