[S01, Cycle1, Clip0]:  477.409,    0.184,  8192  0x46000000
[S01, Cycle1, Clip1]:  171.296,    0.036,  8192  0x46000000
[S01, Cycle2, Clip0]:  253.987,    0.103,  8192  0x46000000
[S01, Cycle2, Clip1]:  254.337,    0.064,  8192  0x46000000
[S01, Cycle2, Clip2]:  172.443,    0.101,  8192  0x46000000
[S01, Cycle3, Clip0]:  254.665,    0.113,  8192  0x46000000
[S01, Cycle3, Clip1]:  252.124,    0.098,  8192  0x46000000
[S01, Cycle3, Clip2]:  252.093,    0.073,  8192  0x46000000
[S01, Cycle3, Clip3]:  252.142,    0.112,  8192  0x46000000
[S01, Cycle4, Clip0]:  252.105,    0.073,  8192  0x46000000
[S01, Cycle4, Clip1]:  252.105,    0.097,  8192  0x46000000
[S01, Cycle4, Clip2]:  252.135,    0.091,  8192  0x46000000
[S01, Cycle4, Clip3]:  252.065,    0.068,  8192  0x46000000
[S01, Cycle4, Clip4]:  252.138,    0.090,  8192  0x46000000
[S02, Cycle1, Clip0]:  472.855,    0.193,  8192  0x46000000
[S02, Cycle1, Clip1]:  170.379,    0.052,  8192  0x46000000
[S02, Cycle2, Clip0]:  294.285,    0.120,  8192  0x46000000
[S02, Cycle2, Clip1]:  294.172,    0.086,  8192  0x46000000
[S02, Cycle2, Clip2]:  294.191,    0.116,  8192  0x46000000
[S02, Cycle3, Clip0]:  273.804,    0.114,  8192  0x46000000
[S02, Cycle3, Clip1]:  273.716,    0.107,  8192  0x46000000
[S02, Cycle3, Clip2]:  273.804,    0.119,  8192  0x46000000
[S02, Cycle3, Clip3]:  273.705,    0.129,  8192  0x46000000
[S02, Cycle4, Clip0]:  268.648,    0.099,  8192  0x46000000
[S02, Cycle4, Clip1]:  268.598,    0.061,  8192  0x46000000
[S02, Cycle4, Clip2]:  268.627,    0.129,  8192  0x46000000
[S02, Cycle4, Clip3]:  268.658,    0.154,  8192  0x46000000
[S02, Cycle4, Clip4]:  268.565,    0.073,  8192  0x46000000
[S03, Cycle1, Clip0]:  500.457,    0.136,  8192  0x46000000
[S03, Cycle1, Clip1]:  498.458,    0.185,  8192  0x46000000
[S03, Cycle2, Clip0]:  313.089,    0.118,  8192  0x46000000
[S03, Cycle2, Clip1]:  313.187,    0.110,  8192  0x46000000
[S03, Cycle2, Clip2]:  313.112,    0.071,  8192  0x46000000
[S03, Cycle3, Clip0]:  305.537,    0.108,  8192  0x46000000
[S03, Cycle3, Clip1]:  305.451,    0.092,  8192  0x46000000
[S03, Cycle3, Clip2]:  305.460,    0.121,  8192  0x46000000
[S03, Cycle3, Clip3]:  305.464,    0.092,  8192  0x46000000
[S03, Cycle4, Clip0]:  295.830,    0.096,  8192  0x46000000
[S03, Cycle4, Clip1]:  295.831,    0.080,  8192  0x46000000
[S03, Cycle4, Clip2]:  295.816,    0.150,  8192  0x46000000
[S03, Cycle4, Clip3]:  295.846,    0.098,  8192  0x46000000
[S03, Cycle4, Clip4]:  295.830,    0.083,  8192  0x46000000
[S04, Cycle1, Clip0]:  500.473,    0.187,  8192  0x46000000
[S04, Cycle1, Clip1]:  497.017,    0.121,  8192  0x46000000
[S04, Cycle2, Clip0]:  344.658,    0.079,  8192  0x46000000
[S04, Cycle2, Clip1]:  344.716,    0.134,  8192  0x46000000
[S04, Cycle2, Clip2]:  344.702,    0.120,  8192  0x46000000
[S04, Cycle3, Clip0]:  314.316,    0.118,  8192  0x46000000
[S04, Cycle3, Clip1]:  314.198,    0.104,  8192  0x46000000
[S04, Cycle3, Clip2]:  314.239,    0.105,  8192  0x46000000
[S04, Cycle3, Clip3]:  314.215,    0.103,  8192  0x46000000
[S04, Cycle4, Clip0]:  301.382,    0.106,  8192  0x46000000
[S04, Cycle4, Clip1]:  301.408,    0.106,  8192  0x46000000
[S04, Cycle4, Clip2]:  301.363,    0.077,  8192  0x46000000
[S04, Cycle4, Clip3]:  301.389,    0.088,  8192  0x46000000
[S04, Cycle4, Clip4]:  301.388,    0.065,  8192  0x46000000
[S05, Cycle1, Clip0]:  501.883,    0.179,  8192  0x46000000
[S05, Cycle1, Clip1]:  499.703,    0.163,  8192  0x46000000
[S05, Cycle2, Clip0]:  387.246,    0.164,  8192  0x46000000
[S05, Cycle2, Clip1]:  387.186,    0.115,  8192  0x46000000
[S05, Cycle2, Clip2]:  387.402,    0.197,  8192  0x46000000
[S05, Cycle3, Clip0]:  349.533,    0.125,  8192  0x46000000
[S05, Cycle3, Clip1]:  349.543,    0.160,  8192  0x46000000
[S05, Cycle3, Clip2]:  349.569,    0.115,  8192  0x46000000
[S05, Cycle3, Clip3]:  349.563,    0.122,  8192  0x46000000
[S05, Cycle4, Clip0]:  340.414,    0.112,  8192  0x46000000
[S05, Cycle4, Clip1]:  340.416,    0.138,  8192  0x46000000
[S05, Cycle4, Clip2]:  340.409,    0.111,  8192  0x46000000
[S05, Cycle4, Clip3]:  340.479,    0.122,  8192  0x46000000
[S05, Cycle4, Clip4]:  340.480,    0.132,  8192  0x46000000
[S06, Cycle1, Clip0]:  523.531,    0.203,  8192  0x46000000
[S06, Cycle1, Clip1]:  481.088,    0.280,  8192  0x46000000
